timestamp,open,high,low,close,volume
2025-07-31 20:00:00,632.0800,632.0800,632.0800,632.0800,1682723
2025-07-31 19:45:00,630.7800,631.2200,630.7800,631.0900,36613
2025-07-31 19:30:00,630.6400,631.1000,630.5201,630.7750,43601
2025-07-31 19:15:00,631.1000,631.1707,630.5200,630.6210,11281
2025-07-31 19:00:00,630.7400,631.1750,630.3600,631.0950,27027
2025-07-31 18:45:00,630.5500,630.9600,630.3300,630.7500,50949
2025-07-31 18:30:00,632.0800,632.0800,629.9600,630.5115,1743772
2025-07-31 18:15:00,631.6605,631.7700,631.0700,631.1500,77943
2025-07-31 18:00:00,631.2500,632.1900,630.9700,631.6308,82095
2025-07-31 17:45:00,631.9300,632.0800,631.2585,631.2585,136222
2025-07-31 17:30:00,632.4100,632.4700,631.8200,631.9650,59652
2025-07-31 17:15:00,631.8400,632.4700,631.5000,632.4700,128316
2025-07-31 17:00:00,631.7600,632.0800,631.5000,631.8400,124299
2025-07-31 16:45:00,631.8700,632.3100,631.5100,631.7600,134268
2025-07-31 16:30:00,632.0000,632.9900,631.4172,631.8100,388910
2025-07-31 16:15:00,631.5300,634.3144,630.6500,631.3950,1886678
2025-07-31 16:00:00,631.9700,634.3144,631.4080,631.5200,12643178
2025-07-31 15:45:00,633.5700,633.6800,630.7650,631.9700,15338073
2025-07-31 15:30:00,632.7950,633.5800,632.5600,633.5700,4434760
2025-07-31 15:15:00,633.5500,633.9350,632.6200,632.7800,3480157
2025-07-31 15:00:00,634.1600,634.8500,633.4300,633.5600,2618638
2025-07-31 14:45:00,634.7000,635.1250,634.0400,634.1500,2256819
2025-07-31 14:30:00,634.2000,634.8200,634.1300,634.7100,2487258
2025-07-31 14:15:00,632.5200,634.2500,631.4300,634.2100,3872392
2025-07-31 14:00:00,633.4700,634.2600,632.5241,632.5241,3747064
2025-07-31 13:45:00,635.3900,635.6550,633.0650,633.4700,3528434
2025-07-31 13:30:00,634.8600,635.6000,634.0700,635.3800,3526808
2025-07-31 13:15:00,637.0521,637.1800,634.4100,634.8400,3081946
2025-07-31 13:00:00,637.7800,637.7900,637.0000,637.0650,1615591
2025-07-31 12:45:00,638.1100,638.1800,637.5100,637.7900,1709987
2025-07-31 12:30:00,638.0852,638.3100,637.8900,638.1100,1697340
2025-07-31 12:15:00,637.7600,638.2300,637.7400,638.0800,1365012
2025-07-31 12:00:00,637.5500,637.8200,637.2100,637.7800,1479530
2025-07-31 11:45:00,637.3400,637.5500,636.8550,637.5400,1561361
2025-07-31 11:30:00,636.1900,637.4000,636.1100,637.3500,2368787
2025-07-31 11:15:00,635.5500,636.3400,635.0600,636.1900,2999125
2025-07-31 11:00:00,636.6050,637.3800,635.5400,635.5400,3089449
2025-07-31 10:45:00,638.4200,638.4600,636.5099,636.6100,3216310
2025-07-31 10:30:00,638.8100,639.1500,638.1600,638.4300,2639054
2025-07-31 10:15:00,639.3000,639.5500,638.4950,638.8200,3426496
2025-07-31 10:00:00,639.3450,639.8090,638.8600,639.3000,3026584
2025-07-31 09:45:00,638.1500,639.8500,637.6900,639.3400,4199287
2025-07-31 09:30:00,639.4550,639.7500,637.8200,638.1350,6657012
2025-07-31 09:15:00,640.0800,640.1000,639.4000,639.4700,304637
2025-07-31 09:00:00,640.3600,640.3900,640.0600,640.0700,110186
2025-07-31 08:45:00,640.2800,640.5300,634.4600,640.3900,120068
2025-07-31 08:30:00,640.1200,640.5800,639.7900,640.2900,197561
2025-07-31 08:15:00,640.1700,640.4010,634.4600,640.3000,129415
2025-07-31 08:00:00,639.8800,641.5700,634.4600,640.1800,195678
2025-07-31 07:45:00,640.0000,640.4100,639.7200,639.8700,109196
2025-07-31 07:30:00,639.9200,640.2400,639.8500,639.9700,39516
2025-07-31 07:15:00,640.1500,640.2700,639.8900,639.9200,29873
2025-07-31 07:00:00,640.0000,640.4300,639.6800,640.1500,112128
2025-07-31 06:45:00,640.7900,640.8200,639.9600,640.0000,107795
2025-07-31 06:30:00,640.7800,640.9700,640.7000,640.7800,13715
2025-07-31 06:15:00,640.6400,640.8300,640.5800,640.7100,7124
2025-07-31 06:00:00,640.4200,640.5800,640.4000,640.5500,7616
2025-07-31 05:45:00,640.5600,640.6500,640.4700,640.4700,7760
2025-07-31 05:30:00,640.7600,640.7600,640.3900,640.5300,10588
2025-07-31 05:15:00,640.6900,640.9700,640.6900,640.8100,5610
2025-07-31 05:00:00,640.9600,641.0400,640.6800,640.6800,29788
2025-07-31 04:45:00,640.9500,641.4600,640.8600,640.9700,12433
2025-07-31 04:30:00,641.1000,641.3000,640.9400,641.0100,19910
2025-07-31 04:15:00,641.0300,641.3000,640.9700,641.1100,12255
2025-07-31 04:00:00,640.6400,641.3400,640.2200,641.0500,52653
2025-07-30 20:00:00,634.4600,634.4600,634.4600,634.4600,701684
2025-07-30 19:45:00,639.1800,639.1800,638.8800,638.9600,32233
2025-07-30 19:30:00,639.0492,639.1800,638.9500,639.1300,36991
2025-07-30 19:15:00,639.2500,639.3000,638.9000,639.0800,59227
2025-07-30 19:00:00,638.9400,639.2805,638.8800,639.2805,100920
2025-07-30 18:45:00,639.0500,639.0933,638.7800,638.9300,94590
